Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
neff-glazgow-beanie-2015,,,,,,,,,Navy,,,,,,,,,454.000603133,shopify,deny,manual,24.00,,true,true,,,,,'888259086804,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/glazgow-linhnguyen4-2.jpg?v=1778661264,2,Glazgow - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/glazgow-linhnguyen4-2.jpg?v=1778661264,lb,,,,,,
neff-cassic-beanie-2015,Daily Heather,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li><span>100% Acrylic</span></li>
</ul>",Neff,,Beanies,Beanies,true,Color,Black/Purple,,,,,,,,,454.000603133,shopify,deny,manual,18.00,,true,true,,,,,'846490054150,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/daily-heather-linhnguyen4-1.jpg?v=1778661262,1,Daily Heather - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/daily-heather-linhnguyen4-1.jpg?v=1778661262,lb,,,,,,active
neff-cassic-beanie-2015,,,,,,,,,Black/Blue,,,,,,,,,453.002699919,shopify,deny,manual,18.00,,true,true,,,,,'846490048166,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/daily-heather-linhnguyen4-2.jpg?v=1778661262,2,Daily Heather - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/daily-heather-linhnguyen4-2.jpg?v=1778661262,lb,,,,,,
neff-cassic-beanie-2015,,,,,,,,,Black/Orange,,,,,,,,,453.002699919,shopify,deny,manual,18.00,,true,true,,,,,'888259603711,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/daily-heather-linhnguyen4-3.jpg?v=1778661262,3,Daily Heather - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/daily-heather-linhnguyen4-3.jpg?v=1778661262,lb,,,,,,
neff-cassic-beanie-2015,,,,,,,,,Black/White,,,,,,,,,453.002699919,shopify,deny,manual,18.00,,true,true,,,,,'846490026584,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/daily-heather-linhnguyen4-4.jpg?v=1778661262,4,Daily Heather - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/daily-heather-linhnguyen4-4.jpg?v=1778661262,lb,,,,,,
neff-cassic-beanie-2015,,,,,,,,,Grey Heather/White,,,,,,,,,454.000603133,shopify,deny,manual,18.00,,true,true,,,,,'846490025006,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/daily-heather-linhnguyen4-5.jpg?v=1778661262,5,Daily Heather - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/daily-heather-linhnguyen4-5.jpg?v=1778661262,lb,,,,,,
neff-daily-beanie-2015,Daily,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li><span>100% Acrylic</span></li>
</ul>",Neff,,Beanies,Beanies,true,Color,Black,,,,,,,,,454.000603133,shopify,deny,manual,16.00,,true,true,,,,,'846490021121,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/daily-linhnguyen4-1.jpg?v=1778661260,1,Daily - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/daily-linhnguyen4-1.jpg?v=1778661260,lb,,,,,,active
neff-daily-beanie-2015,,,,,,,,,Olive,,,,,,,,,454.000603133,shopify,deny,manual,16.00,,true,true,,,,,'846490021152,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/daily-linhnguyen4-2.jpg?v=1778661260,2,Daily - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/daily-linhnguyen4-2.jpg?v=1778661260,lb,,,,,,
neff-women-s-cupcake-beanie-2014,Cupcake,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li><span style=""line-height: 1.5;"">100% Acrylic</span></li>
</ul>",Neff,,Beanies,Beanies,true,Color,Strawberry,,,,,,,,,454.000603133,shopify,deny,manual,28.00,,true,true,,,,,'846490021008,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/cupcake-linhnguyen4-1.jpg?v=1778661259,1,Cupcake - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/cupcake-linhnguyen4-1.jpg?v=1778661259,lb,,,,,,active
neff-women-s-amy-beanie-2014,Amy,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li><span style=""line-height: 1.5;"">100% Acrylic</span></li>
</ul>",Neff,,Beanies,Beanies,true,Color,White,,,,,,,,,454.000603133,shopify,deny,manual,30.00,,true,true,,,,,'846490095313,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/wht_5.jpg?v=1778661257,1,Amy - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/wht_5.jpg?v=1778661257,lb,,,,,,active
anon-wm1-goggles-2016-womens,WM1,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li><span style=""line-height: 1.5;"">Spare Graybird Lens</span></li>
<li><span style=""line-height: 1.5;"">Nylon Compression Molded Goggle Case</span></li>
<li><span style=""line-height: 1.5;"">Micro-Fiber Goggle Bag</span></li>
<li><span style=""line-height: 1.5;"">Magna-Tech™ Quick Lens Change Technology</span></li>
<li><span style=""line-height: 1.5;"">Women’s Specific Design</span></li>
<li><span style=""line-height: 1.5;"">Snap-Back Lens Strap on Select Colorways</span></li>
<li><span style=""line-height: 1.5;"">Outlast® Fog Management Face Fleece</span></li>
<li><span style=""line-height: 1.5;"">No-Slip Silicone Strap</span></li>
<li><span style=""line-height: 1.5;"">Wall-to-Wall Vision</span></li>
<li><span style=""line-height: 1.5;"">Spherical Lens Technology</span></li>
<li><span style=""line-height: 1.5;"">Triple Layer Face Foam</span></li>
<li><span style=""line-height: 1.5;"">ICT (Integral Clarity Technology)</span></li>
<li><span style=""line-height: 1.5;"">Full Perimeter Channel Venting</span></li>
<li><span style=""line-height: 1.5;"">Lightweight Thermoplastic Polyurethane (TPU) Frame</span></li>
</ul>",Anon,,Goggles,Goggles,true,Color,Birch/Pink Cobalt,,,,,,,,,907.003303052,shopify,deny,manual,219.95,,true,true,,,,,'632059985023,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/wm1-linhnguyen4-1.jpg?v=1778661256,1,WM1 - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/wm1-linhnguyen4-1.jpg?v=1778661256,lb,,,,,,active
anon-relapse-goggle-2016,Relapse,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li><span style=""line-height: 1.5;"">Spare Graybird Lens</span></li>
<li><span style=""line-height: 1.5;"">Micro-Fiber Goggle Bag</span></li>
<li><span style=""line-height: 1.5;"">No-Slip Silicone Strap on Select Colorways</span></li>
<li><span style=""line-height: 1.5;"">Wall-to-Wall Vision</span></li>
<li><span style=""line-height: 1.5;"">Over The Glasses (OTG) Compatible</span></li>
<li><span style=""line-height: 1.5;"">Cylindrical Lens Technology</span></li>
<li><span style=""line-height: 1.5;"">Triple Layer Face Foam</span></li>
<li><span style=""line-height: 1.5;"">ICT (Integral Clarity Technology)</span></li>
<li><span style=""line-height: 1.5;"">Full Perimeter Channel Venting</span></li>
<li><span style=""line-height: 1.5;"">Lightweight Thermoplastic Polyurethane (TPU) Frame</span></li>
</ul>",Anon,,Goggles,Goggles,true,Color,Dosed/Gold Chrome,,,,,,,,,907.003303052,shopify,deny,manual,109.95,,true,true,,,,,'632059984965,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/relapse-linhnguyen4-1.jpg?v=1778661254,1,Relapse - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/relapse-linhnguyen4-1.jpg?v=1778661254,lb,,,,,,active
anon-relapse-goggle-2016,,,,,,,,,Guerrilla/Dark Smoke,,,,,,,,,907.003303052,shopify,deny,manual,109.95,,true,true,,,,,'632059985009,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/relapse-linhnguyen4-2.jpg?v=1778661254,2,Relapse - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/relapse-linhnguyen4-2.jpg?v=1778661254,lb,,,,,,
anon-tempest-goggle-2016,Tempest,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li>Women’s Specific Design</li>
<li>Wall-to-Wall Vision</li>
<li>Spherical Lens Technology</li>
<li>Flush Mount Outrigger</li>
<li>Triple Layer Face Foam</li>
<li>ICT (Integral Clarity Technology)</li>
<li>Full Perimeter Channel Venting</li>
<li>Lightweight Thermoplastic Polyurethane (TPU) Frame</li>
</ul>",Anon,,Goggles,Goggles,true,Color,Royal/Gold Chrome,,,,,,,,,907.003303052,shopify,deny,manual,139.95,,true,true,,,,,'632059486773,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/tempest-linhnguyen4-1.jpg?v=1778661252,1,Tempest - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/tempest-linhnguyen4-1.jpg?v=1778661252,lb,,,,,,active
anon-frozen-goggle-2016,Greta,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li>No-Slip Silicone Strap</li>
<li>Cylindrical Lens Technology</li>
<li>Dual Layer Face Foam</li>
<li>ICT (Integral Clarity Technology)</li>
<li>Full Perimeter Channel Venting</li>
<li>Lightweight Thermoplastic Polyurethane (TPU) Frame</li>
</ul>",Anon,,Goggles,Goggles,true,Color,Foze/Blue Amber,,,,,,,,,907.003303052,shopify,deny,manual,59.95,,true,true,,,,,'632059984545,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/greta-linhnguyen4-1.jpg?v=1778661250,1,Greta - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/greta-linhnguyen4-1.jpg?v=1778661250,lb,,,,,,active
anon-tracker-goggle-2016,Tracker,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li>No-Slip Silicone Strap</li>
<li>Cylindrical Lens Technology</li>
<li>Dual Layer Face Foam</li>
<li>ICT (Integral Clarity Technology)</li>
<li>Full Perimeter Channel Venting</li>
<li>Lightweight Thermoplastic Polyurethane (TPU) Frame</li>
</ul>",Anon,,Goggles,Goggles,true,Color,Krakken/Green Amber,,,,,,,,,907.003303052,shopify,deny,manual,49.95,,true,true,,,,,'632059984460,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/tracker-linhnguyen4-1.jpg?v=1778661249,1,Tracker - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/tracker-linhnguyen4-1.jpg?v=1778661249,lb,,,,,,active
anon-tracker-goggle-2016,,,,,,,,,Wild Thing/Red Amber,,,,,,,,,907.003303052,shopify,deny,manual,49.95,,true,true,,,,,'632059984491,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/tracker-linhnguyen4-2.jpg?v=1778661249,2,Tracker - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/tracker-linhnguyen4-2.jpg?v=1778661249,lb,,,,,,
anon-tracker-goggle-2016,,,,,,,,,Yetti/Blue Amber,,,,,,,,,907.003303052,shopify,deny,manual,49.95,,true,true,,,,,'632059984507,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/tracker-linhnguyen4-3.jpg?v=1778661249,3,Tracker - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/tracker-linhnguyen4-3.jpg?v=1778661249,lb,,,,,,
anon-hawkeye-goggle-2016,Hawkeye,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul></ul>
<ul>
<li><span style=""line-height: 1.5;"">Spare Amber Lens on Select Colorways</span></li>
<li><span style=""line-height: 1.5;"">Micro-Fiber Goggle Bag</span></li>
<li><span style=""line-height: 1.5;"">Spherical Lens Technology</span></li>
<li><span style=""line-height: 1.5;"">Pivoting Flush Mount Outrigger</span></li>
<li><span style=""line-height: 1.5;"">Triple Layer Face Foam</span></li>
<li><span style=""line-height: 1.5;"">ICT (Integral Clarity Technology)</span></li>
<li><span style=""line-height: 1.5;"">Full Perimeter Channel Venting</span></li>
<li><span style=""line-height: 1.5;"">Lightweight Thermoplastic Polyurethane (TPU) Frame</span></li>
</ul>
<ul></ul>
<ul></ul>
<ul></ul>
<ul></ul>
<ul></ul>
<ul></ul>
<ul></ul>",Anon,,Goggles,Goggles,true,Color,Rubble/Red Solex,,,,,,,,,907.003303052,shopify,deny,manual,129.95,,true,true,,,,,'632059984361,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/hawkeye-linhnguyen4-1.jpg?v=1778661247,1,Hawkeye - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/hawkeye-linhnguyen4-1.jpg?v=1778661247,lb,,,,,,active
majestic-goggle-2016-womens,Majestic,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li>Women’s Specific Design</li>
<li>Cylindrical Lens Technology</li>
<li>Pivoting Hinge</li>
<li>Dual Layer Face Foam</li>
<li>ICT (Integral Clarity Technology)</li>
<li>Full Perimeter Channel Venting</li>
<li>Lightweight Thermoplastic Polyurethane (TPU) Frame</li>
</ul>",Anon,,Goggles,Goggles,true,Color,White/Blue Lagoon,,,,,,,,,907.003303052,shopify,deny,manual,74.95,,true,true,,,,,'886888503051,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/majestic-linhnguyen4-1.jpg?v=1778661246,1,Majestic - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/majestic-linhnguyen4-1.jpg?v=1778661246,lb,,,,,,active
majestic-goggle-2016-womens,,,,,,,,,Bloom/Pink Sq,,,,,,,,,907.003303052,shopify,deny,manual,94.95,,true,true,,,,,'632059984323,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/majestic-linhnguyen4-2.jpg?v=1778661246,2,Majestic - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/majestic-linhnguyen4-2.jpg?v=1778661246,lb,,,,,,
majestic-goggle-2016-womens,,,,,,,,,Triplet/Blue Fusion,,,,,,,,,907.003303052,shopify,deny,manual,94.95,,true,true,,,,,'632059984330,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/majestic-linhnguyen4-3.jpg?v=1778661246,3,Majestic - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/majestic-linhnguyen4-3.jpg?v=1778661246,lb,,,,,,
anon-tracker-goggle-2015,Tracker,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul class=""product-bulletpoints"">
<li>Cylindrical polycarbonate lens</li>
<li>Dual layer face foam</li>
<li>Kids fit</li>
<li>Helmet compatible</li>
</ul>",Anon,,Goggles,Goggles,true,Color,Sharktank/Blue Amber,,,,,,,,,907.003303052,shopify,deny,manual,34.96,49.95,true,true,,,,,'632059486391,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/tracker-linhnguyen4-1.png?v=1778661244,1,Tracker - linhnguyen4,false,,Anon Tracker Goggle cool goggle Cylindrical polycarbonate lens Dual layer face foam Kids fit Helmet compatible,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/tracker-linhnguyen4-1.png?v=1778661244,lb,,,,,,active
anon-comrade-goggle-2015,Greta,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><meta charset=""utf-8"">
<ul class=""product-bulletpoints"">
<li>Spherical UV blocking polycarbonate lens</li>
<li>Full Perimeter Channel venting</li>
<li>Large frame for medium/large faces</li>
<li>Hinged pivoting strap anchor for helmet compatibility</li>
</ul>",Anon,,Goggles,Goggles,true,Color,Unclassofied Blue Cobalt,,,,,,,,,907.003303052,shopify,deny,manual,104.96,149.95,true,true,,,,,'632059486278,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/greta-linhnguyen4-1.png?v=1778661243,1,Greta - linhnguyen4,false,,Anon Comrade Goggle awesome goggle cool lens Spherical UV blocking polycarbonate lens Full Perimeter Channel venting Large frame for medium/large faces Hinged pivoting strap anchor for helmet compatibility,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/greta-linhnguyen4-1.png?v=1778661243,lb,,,,,,active
scott-classic-goggle-2015,Classic,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul class=""a-vertical a-spacing-none"">
<li><span class=""a-list-item"">Single-layer face foam</span></li>
<li><span class=""a-list-item"">Optimized helmet compatibility</span></li>
<li><span class=""a-list-item"">SCOTT TruView double lens</span></li>
<li><span class=""a-list-item"">No Fog Anti-Fog lens treatment</span></li>
</ul>",Scott,,Goggles,Goggles,true,Size,Powder Pink,,Lens,Amplifier,,,,,,907.003303052,shopify,deny,manual,40.00,,true,true,,,,,'886687449543,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/3150dqDf7mL._SS460.jpg?v=1778661241,1,Classic - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/3150dqDf7mL._SS460.jpg?v=1778661241,lb,,,,,,active
scott-fact-goggle-2015,Fact,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li><span style=""line-height: 1.2;"">Medium to large</span></li>
<li><span style=""line-height: 1.2;"">SCOTT TruView Double Lens No FogTM Anti-Fog Lens Treatment ACS Air Control System for active lens venting</span></li>
<li>
<span style=""line-height: 1.2;"">Single-Layer Face Foam Optimized helmet compatibility</span> </li>
</ul>",Scott,,Goggles,Goggles,true,Color,Black,,Lens,NL40,,,,,,907.003303052,shopify,deny,manual,60.00,,true,true,,,,,'886118789972,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/fact-linhnguyen4-1.png?v=1778661240,1,Fact - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/fact-linhnguyen4-1.png?v=1778661240,lb,,,,,,active
scott-fact-goggle-2015,,,,,,,,,Black,,,Clear,,,,,,907.003303052,shopify,deny,manual,60.00,,true,true,,,,,'886118789965,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/fact-linhnguyen4-2.png?v=1778661239,2,Fact - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/fact-linhnguyen4-2.png?v=1778661239,lb,,,,,,
scott-fact-goggle-2015,,,,,,,,,Pink,,,NL40,,,,,,907.003303052,shopify,deny,manual,60.00,,true,true,,,,,'886118790039,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/fact-linhnguyen4-3.jpg?v=1778661239,3,Fact - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/fact-linhnguyen4-3.jpg?v=1778661239,lb,,,,,,
scott-fact-goggle-2015,,,,,,,,,Blue,,,NL40,,,,,,907.003303052,shopify,deny,manual,60.00,,true,true,,,,,'886118790015,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/fact-linhnguyen4-4.jpg?v=1778661239,4,Fact - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/fact-linhnguyen4-4.jpg?v=1778661239,lb,,,,,,
scott-fact-goggle-2015,,,,,,,,,White,,,NL40,,,,,,907.003303052,shopify,deny,manual,60.00,,true,true,,,,,'886118789996,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/fact-linhnguyen4-5.jpg?v=1778661239,5,Fact - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/fact-linhnguyen4-5.jpg?v=1778661239,lb,,,,,,
burton-l-a-m-b-ritual-boot-2016-womens,Ritual,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li>Women's-Specific True Fit™ Design</li>
<li>LACING: Speed Zone™ Lacing System Featuring NEW Components For 2016 and Powered by NEW Burton Exclusive New England Ropes with a Lifetime Warranty</li>
<li>LINER: Imprint™ 3 Liner with DRYRIDE Heat Cycle™ Lining, NEW X-Up Cuff, Plush Cuff 1.0, and Rad Pad</li>
<li>CUSHIONING: DynoLITE EST® Outsole with B3 Gel and Sleeping Bag Reflective Foil</li>
<li>FLEX AND RESPONSE: Soft-Flexing Shell Materials, Articulating Cuff, GripLITE Backstay, and 1:1 Soft Flex PowerUP Tongue</li>
<li>COMFORT: Total Comfort Construction, Snow-Proof Internal Gusset, and Level 2 Molded EVA Footbed with ESS Support Shank and Aegis™ Antimicrobial Coating</li>
</ul>",Burton,,Snowboard Boots,Snowboard Boots,true,Size,6.5,,Color,L.A.M.B.,,,,,,6350.021024578,shopify,deny,manual,279.95,,true,true,,,,,'632059936902,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/ritual-linhnguyen4-1.jpg?v=1778661238,1,Ritual - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/ritual-linhnguyen4-1.jpg?v=1778661238,lb,,,,,,active
burton-l-a-m-b-ritual-boot-2016-womens,,,,,,,,,7.5,,,L.A.M.B.,,,,,,6350.021024578,shopify,deny,manual,279.95,,true,true,,,,,'632059936926,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/ritual-linhnguyen4-1.jpg?v=1778661238,lb,,,,,,
burton-l-a-m-b-ritual-boot-2016-womens,,,,,,,,,8.5,,,L.A.M.B.,,,,,,6350.021024578,shopify,deny,manual,279.95,,true,true,,,,,'632059936940,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/ritual-linhnguyen4-1.jpg?v=1778661238,lb,,,,,,
burton-mint-boot-2016,Mint,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li>Women's-Specific True Fit™ Design</li>
<li>LACING: Speed Zone™ Lacing System Powered by NEW Burton Exclusive New England Ropes with a Lifetime WarrantyLINER: Imprint™ 1 Liner with Integrated Lacing</li>
<li>CUSHIONING: DynoLITE Outsole with Sleeping Bag Reflective Foil</li>
<li>FLEX AND RESPONSE: 1:1 Soft Flex Tongue</li>
<li>COMFORT: Total Comfort Construction, Snow-Proof Internal Gusset, and Level 1 Molded EVA Footbed</li>
<li>The World's Bestselling Women's Boot 12 Years Running</li>
</ul>",Burton,,Snowboard Boots,Snowboard Boots,true,Size,6,,Color,Coral/Yellow,,,,,,6350.021024578,shopify,deny,manual,179.95,,true,true,,,,,'632059937398,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/mint-linhnguyen4-1.jpg?v=1778661236,1,Mint - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/mint-linhnguyen4-2.jpg?v=1778661236,lb,,,,,,active
burton-mint-boot-2016,,,,,,,,,6.5,,,Desert Purple,,,,,,6350.021024578,shopify,deny,manual,179.95,,true,true,,,,,'632059937275,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/mint-linhnguyen4-2.jpg?v=1778661236,2,Mint - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/mint-linhnguyen4-1.jpg?v=1778661236,lb,,,,,,
burton-mint-boot-2016,,,,,,,,,6.5,,,Mint/Black,,,,,,6350.021024578,shopify,deny,manual,179.95,,true,true,,,,,'886888966290,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/mint-linhnguyen4-3.jpg?v=1778661236,3,Mint - linhnguyen4,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/mint-linhnguyen4-3.jpg?v=1778661236,lb,,,,,,
burton-mint-boot-2016,,,,,,,,,7,,,Coral/Yellow,,,,,,6350.021024578,shopify,deny,manual,179.95,,true,true,,,,,'632059937411,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/mint-linhnguyen4-2.jpg?v=1778661236,lb,,,,,,
burton-mint-boot-2016,,,,,,,,,7.5,,,Desert Purple,,,,,,6350.021024578,shopify,deny,manual,179.95,,true,true,,,,,'632059937299,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/mint-linhnguyen4-1.jpg?v=1778661236,lb,,,,,,
burton-mint-boot-2016,,,,,,,,,7.5,,,Mint/Black,,,,,,6350.021024578,shopify,deny,manual,179.95,,true,true,,,,,'886888966313,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/mint-linhnguyen4-3.jpg?v=1778661236,lb,,,,,,
burton-mint-boot-2016,,,,,,,,,8,,,Coral/Yellow,,,,,,6350.021024578,shopify,deny,manual,179.95,,true,true,,,,,'632059937435,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/mint-linhnguyen4-2.jpg?v=1778661236,lb,,,,,,
